"Interval start","Graph 1","Graph 2","Graph 3"
"0.000","2","88","491"
"0.100","0","0","0"
"0.200","1","74","251014"
"0.300","0","0","0"
"0.400","0","0","0"
"0.500","0","0","0"
"0.600","2","124","222145"
"0.700","1","74","73911"
"0.800","0","0","0"
"0.900","1","74","177995"
"1.000","1","74","95809"
"1.100","0","0","0"
"1.200","0","0","0"
"1.300","0","0","0"
"1.400","0","0","0"
"1.500","0","0","0"
"1.600","0","0","0"
"1.700","2","88","362492"
"1.800","0","0","0"
"1.900","1","74","179023"
"2.000","1","74","111991"
"2.100","0","0","0"
"2.200","0","0","0"
"2.300","0","0","0"
"2.400","0","0","0"
"2.500","0","0","0"
"2.600","0","0","0"
"2.700","0","0","0"
"2.800","0","0","0"
"2.900","0","0","0"
"3.000","0","0","0"
"3.100","0","0","0"
"3.200","0","0","0"
"3.300","2","88","668012"
"3.400","2","991","39010"
"3.500","0","0","0"
"3.600","2","733","111667"
"3.700","0","0","0"
"3.800","0","0","0"
"3.900","3","513","84867"
"4.000","0","0","0"
"4.100","0","0","0"
"4.200","1","74","308007"
"4.300","0","0","0"
"4.400","0","0","0"
"4.500","2","991","132830"
"4.600","1","74","170347"
"4.700","0","0","0"
"4.800","0","0","0"
"4.900","1","74","252004"
"5.000","0","0","0"
"5.100","0","0","0"
"5.200","0","0","0"
"5.300","0","0","0"
"5.400","0","0","0"
"5.500","0","0","0"
"5.600","0","0","0"
"5.700","2","991","389364"
"5.800","0","0","0"
"5.900","0","0","0"
"6.000","0","0","0"
"6.100","0","0","0"
"6.200","0","0","0"
"6.300","2","991","335003"
"6.400","0","0","0"
"6.500","1","1392","149223"
"6.600","2","74","77015"
"6.700","0","0","0"
"6.800","1","1392","146712"
"6.900","3","110","48503"
"7.000","0","0","0"
"7.100","66","1050","3148"
"7.200","200","1230","405"
"7.300","70","1410","1299"
"7.400","121","1455","847"
"7.500","94","1430","977"
"7.600","153","1466","845"
"7.700","117","1477","732"
"7.800","134","1461","882"
"7.900","107","1413","869"
"8.000","59","1419","1355"
"8.100","76","1449","1089"
"8.200","146","1433","908"
"8.300","142","1465","785"
"8.400","119","1473","695"
"8.500","116","1498","703"
"8.600","158","1448","826"
"8.700","91","1455","900"
"8.800","69","1449","1290"
"8.900","132","1458","940"
"9.000","67","1415","1344"
"9.100","73","1433","1640"
"9.200","82","1426","1139"
"9.300","97","1451","1048"
"9.400","55","1399","1650"
"9.500","54","1440","1507"
"9.600","92","1374","1442"
"9.700","58","1405","1385"
"9.800","51","1381","1604"
"9.900","89","1411","1484"
"10.000","78","1427","1049"
"10.100","123","1470","786"
"10.200","300","1494","355"
"10.300","210","1459","572"
"10.400","267","1489","343"
"10.500","176","1493","471"
"10.600","199","1485","631"
"10.700","183","1459","481"
"10.800","136","1477","649"
"10.900","223","1475","550"
"11.000","171","1495","555"
"11.100","252","1484","404"
"11.200","147","1482","545"
"11.300","169","1449","731"
"11.400","200","1459","436"
"11.500","147","1491","645"
"11.600","164","1451","718"
"11.700","177","1481","531"
"11.800","153","1469","537"
"11.900","144","1478","568"
"12.000","184","1486","721"
"12.100","197","1470","519"
"12.200","132","1474","686"
"12.300","154","1473","754"
"12.400","186","1445","522"
"12.500","139","1458","595"
"12.600","119","1433","976"
"12.700","192","1451","502"
