"Interval start","Graph 1","Graph 2","Graph 3"
"0.000","1","100","0"
"0.100","0","0","0"
"0.200","0","0","0"
"0.300","0","0","0"
"0.400","0","0","0"
"0.500","0","0","0"
"0.600","0","0","0"
"0.700","6","86","130643"
"0.800","0","0","0"
"0.900","2","93","108034"
"1.000","0","0","0"
"1.100","0","0","0"
"1.200","0","0","0"
"1.300","0","0","0"
"1.400","0","0","0"
"1.500","0","0","0"
"1.600","0","0","0"
"1.700","5","87","156242"
"1.800","0","0","0"
"1.900","2","85","84329"
"2.000","0","0","0"
"2.100","0","0","0"
"2.200","0","0","0"
"2.300","0","0","0"
"2.400","0","0","0"
"2.500","0","0","0"
"2.600","0","0","0"
"2.700","0","0","0"
"2.800","0","0","0"
"2.900","2","98","498235"
"3.000","0","0","0"
"3.100","0","0","0"
"3.200","0","0","0"
"3.300","1","85","375132"
"3.400","0","0","0"
"3.500","0","0","0"
"3.600","0","0","0"
"3.700","0","0","0"
"3.800","0","0","0"
"3.900","2","98","318207"
"4.000","0","0","0"
"4.100","0","0","0"
"4.200","0","0","0"
"4.300","0","0","0"
"4.400","0","0","0"
"4.500","0","0","0"
"4.600","0","0","0"
"4.700","0","0","0"
"4.800","0","0","0"
"4.900","2","89","497648"
"5.000","1","100","51852"
"5.100","0","0","0"
"5.200","0","0","0"
"5.300","0","0","0"
"5.400","0","0","0"
"5.500","0","0","0"
"5.600","0","0","0"
"5.700","3","97","260899"
"5.800","0","0","0"
"5.900","1","96","170330"
"6.000","1","100","46959"
"6.100","0","0","0"
"6.200","0","0","0"
"6.300","14","351","27943"
"6.400","0","0","0"
"6.500","0","0","0"
"6.600","0","0","0"
"6.700","3","97","129577"
"6.800","0","0","0"
"6.900","2","94","84609"
"7.000","0","0","0"
"7.100","0","0","0"
"7.200","0","0","0"
"7.300","0","0","0"
"7.400","0","0","0"
"7.500","0","0","0"
"7.600","0","0","0"
"7.700","0","0","0"
"7.800","0","0","0"
"7.900","3","95","347087"
"8.000","0","0","0"
"8.100","0","0","0"
"8.200","0","0","0"
"8.300","0","0","0"
"8.400","0","0","0"
"8.500","0","0","0"
"8.600","0","0","0"
"8.700","2","79","390616"
"8.800","0","0","0"
"8.900","3","95","61775"
"9.000","0","0","0"
"9.100","0","0","0"
"9.200","0","0","0"
"9.300","0","0","0"
"9.400","0","0","0"
"9.500","0","0","0"
"9.600","0","0","0"
"9.700","0","0","0"
"9.800","0","0","0"
"9.900","2","98","498182"
"10.000","1","75","51850"
"10.100","0","0","0"
"10.200","0","0","0"
"10.300","0","0","0"
"10.400","0","0","0"
"10.500","0","0","0"
"10.600","0","0","0"
"10.700","0","0","0"
"10.800","0","0","0"
"10.900","3","84","318246"
"11.000","2","87","28164"
"11.100","0","0","0"
"11.200","0","0","0"
"11.300","0","0","0"
"11.400","0","0","0"
"11.500","0","0","0"
"11.600","0","0","0"
"11.700","3","97","256233"
"11.800","0","0","0"
"11.900","5","82","37154"
"12.000","0","0","0"
"12.100","0","0","0"
"12.200","0","0","0"
"12.300","0","0","0"
"12.400","0","0","0"
"12.500","0","0","0"
"12.600","0","0","0"
"12.700","0","0","0"
"12.800","0","0","0"
"12.900","2","107","489467"
"13.000","2","83","43623"
"13.100","0","0","0"
"13.200","1","91","158622"
"13.300","0","0","0"
"13.400","0","0","0"
"13.500","0","0","0"
"13.600","0","0","0"
"13.700","3","88","193625"
"13.800","0","0","0"
"13.900","3","79","71513"
"14.000","0","0","0"
"14.100","0","0","0"
"14.200","1","91","215487"
"14.300","0","0","0"
"14.400","0","0","0"
"14.500","0","0","0"
"14.600","0","0","0"
"14.700","0","0","0"
"14.800","0","0","0"
"14.900","3","93","249485"
"15.000","0","0","0"
"15.100","0","0","0"
"15.200","0","0","0"
"15.300","0","0","0"
"15.400","0","0","0"
"15.500","0","0","0"
"15.600","0","0","0"
"15.700","0","0","0"
"15.800","0","0","0"
"15.900","2","51","506191"
"16.000","0","0","0"
"16.100","0","0","0"
"16.200","2","105","130604"
"16.300","0","0","0"
"16.400","0","0","0"
"16.500","0","0","0"
"16.600","0","0","0"
"16.700","0","0","0"
"16.800","0","0","0"
"16.900","2","89","360150"
"17.000","0","0","0"
"17.100","0","0","0"
"17.200","0","0","0"
"17.300","0","0","0"
"17.400","0","0","0"
"17.500","0","0","0"
"17.600","0","0","0"
"17.700","0","0","0"
"17.800","0","0","0"
"17.900","3","98","334029"
"18.000","2","87","45551"
"18.100","0","0","0"
"18.200","0","0","0"
"18.300","0","0","0"
"18.400","0","0","0"
"18.500","0","0","0"
"18.600","0","0","0"
"18.700","3","97","246093"
"18.800","0","0","0"
"18.900","3","86","71592"
"19.000","2","74","21493"
"19.100","0","0","0"
"19.200","0","0","0"
"19.300","0","0","0"
"19.400","0","0","0"
"19.500","0","0","0"
"19.600","0","0","0"
"19.700","0","0","0"
"19.800","0","0","0"
"19.900","4","86","238470"
"20.000","0","0","0"
"20.100","0","0","0"
"20.200","0","0","0"
"20.300","0","0","0"
"20.400","0","0","0"
"20.500","0","0","0"
"20.600","0","0","0"
"20.700","0","0","0"
"20.800","0","0","0"
"20.900","2","101","474385"
"21.000","0","0","0"
"21.100","0","0","0"
"21.200","3","64","97315"
"21.300","0","0","0"
"21.400","0","0","0"
"21.500","0","0","0"
"21.600","0","0","0"
"21.700","0","0","0"
"21.800","0","0","0"
"21.900","2","98","360660"
"22.000","0","0","0"
"22.100","0","0","0"
"22.200","1","91","274359"
"22.300","0","0","0"
"22.400","0","0","0"
"22.500","0","0","0"
"22.600","0","0","0"
"22.700","0","0","0"
"22.800","0","0","0"
"22.900","0","0","0"
"23.000","3","104","272914"
"23.100","0","0","0"
"23.200","0","0","0"
"23.300","0","0","0"
"23.400","0","0","0"
"23.500","0","0","0"
"23.600","0","0","0"
"23.700","3","98","245669"
"23.800","0","0","0"
"23.900","1","96","172513"
"24.000","3","81","28778"
"24.100","0","0","0"
"24.200","0","0","0"
"24.300","0","0","0"
"24.400","0","0","0"
"24.500","0","0","0"
"24.600","1","87","560175"
"24.700","0","0","0"
"24.800","0","0","0"
"24.900","4","91","97969"
"25.000","0","0","0"
"25.100","0","0","0"
"25.200","0","0","0"
"25.300","1","107","321134"
"25.400","226","1041","726"
"25.500","72","1424","1116"
"25.600","112","1437","1189"
"25.700","87","1443","702"
"25.800","148","1443","897"
"25.900","114","1446","724"
"26.000","116","1449","786"
"26.100","140","1452","857"
"26.200","72","1381","1247"
"26.300","103","1422","1192"
"26.400","95","1457","970"
"26.500","101","1427","811"
"26.600","151","1475","744"
"26.700","115","1464","711"
"26.800","167","1462","787"
"26.900","89","1387","893"
"27.000","89","1428","909"
"27.100","119","1437","1118"
"27.200","79","1425","1011"
"27.300","63","1418","1442"
"27.400","93","1409","1314"
"27.500","97","1426","1149"
"27.600","58","1375","1381"
"27.700","53","1419","1724"
"27.800","87","1372","1414"
"27.900","61","1396","1505"
"28.000","49","1319","1633"
"28.100","89","1387","1494"
"28.200","79","1441","1061"
"28.300","87","1453","951"
"28.400","272","1484","430"
"28.500","266","1476","449"
"28.600","226","1493","421"
"28.700","166","1471","482"
"28.800","205","1483","607"
"28.900","176","1471","477"
"29.000","167","1437","571"
"29.100","200","1475","602"
"29.200","161","1462","519"
"29.300","170","1472","537"
"29.400","241","1482","418"
"29.500","166","1461","748"
"29.600","221","1477","408"
"29.700","120","1486","756"
"29.800","173","1472","687"
