"Interval start","Graph 1"
"0.000","1"
"0.100","0"
"0.200","0"
"0.300","0"
"0.400","0"
"0.500","0"
"0.600","0"
"0.700","0"
"0.800","2"
"0.900","1"
"1.000","1"
"1.100","0"
"1.200","0"
"1.300","1"
"1.400","0"
"1.500","0"
"1.600","0"
"1.700","0"
"1.800","0"
"1.900","0"
"2.000","8"
"2.100","0"
"2.200","0"
"2.300","0"
"2.400","0"
"2.500","0"
"2.600","0"
"2.700","0"
"2.800","0"
"2.900","2"
"3.000","3"
"3.100","0"
"3.200","0"
"3.300","1"
"3.400","0"
"3.500","0"
"3.600","0"
"3.700","0"
"3.800","0"
"3.900","0"
"4.000","0"
"4.100","0"
"4.200","0"
"4.300","3"
"4.400","0"
"4.500","0"
"4.600","0"
"4.700","0"
"4.800","0"
"4.900","0"
"5.000","2"
"5.100","0"
"5.200","0"
"5.300","0"
"5.400","0"
"5.500","0"
"5.600","0"
"5.700","0"
"5.800","0"
"5.900","0"
"6.000","2"
"6.100","0"
"6.200","0"
"6.300","1"
"6.400","1"
"6.500","0"
"6.600","0"
"6.700","0"
"6.800","0"
"6.900","0"
"7.000","8"
"7.100","0"
"7.200","0"
"7.300","0"
"7.400","0"
"7.500","0"
"7.600","0"
"7.700","0"
"7.800","0"
"7.900","2"
"8.000","3"
"8.100","0"
"8.200","0"
"8.300","0"
"8.400","0"
"8.500","0"
"8.600","0"
"8.700","2"
"8.800","0"
"8.900","2"
"9.000","1"
"9.100","0"
"9.200","0"
"9.300","2"
"9.400","0"
"9.500","0"
"9.600","0"
"9.700","14"
"9.800","0"
"9.900","0"
"10.000","2"
"10.100","0"
"10.200","0"
"10.300","0"
"10.400","0"
"10.500","0"
"10.600","0"
"10.700","0"
"10.800","0"
"10.900","0"
"11.000","2"
"11.100","0"
"11.200","0"
"11.300","1"
"11.400","1"
"11.500","0"
"11.600","0"
"11.700","0"
"11.800","0"
"11.900","0"
"12.000","6"
"12.100","0"
"12.200","0"
"12.300","0"
"12.400","1"
"12.500","0"
"12.600","0"
"12.700","0"
"12.800","0"
"12.900","2"
"13.000","3"
"13.100","0"
"13.200","0"
"13.300","0"
"13.400","0"
"13.500","0"
"13.600","0"
"13.700","0"
"13.800","0"
"13.900","2"
"14.000","2"
"14.100","0"
